player_id,player_role,suffix_name,suffix_bonus,suffix_prob,effective_bonus
73401082,Support,the Tormented,9,0.02216070730728323,0.0019944636576554905
73401082,Support,the Underdog,6,0.4008337805991967,0.0240500268359518
81306398,Support,of the Ant,8,0.2823056868701142,0.022584454949609135
81306398,Support,of the Bull,9,0.09571697054925389,0.00861452734943285
81306398,Support,of the Mule,21,0.07229113622082536,0.015181138606373325
81306398,Support,of the Octopus,7,0.44547324002330924,0.031183126801631645
81306398,Support,of the Raven,6,0,0
81306398,Support,the Accomplice,7,0.2133242727676666,0.014932699093736663
81306398,Support,the Decisive,25,0.017362635501954066,0.004340658875488517
81306398,Support,the Divine Thief,9,0.08476181402962903,0.007628563262666612
81306398,Support,the Even-Keeled,25,0,0
81306398,Support,the Flayed Twins Acolyte,7,0.14372556128374914,0.01006078928986244
81306398,Support,the Loquacious,7,0.35117462298581226,0.02458222360900686
81306398,Support,the Nothl Pilgrim,7,0.190618955050802,0.013343326853556142
81306398,Support,the Pacifist,8,0.12136784021057061,0.009709427216845649
81306398,Support,the Patient,13,0,0
81306398,Support,the Tormented,9,0.0393541748801266,0.0035418757392113942
81306398,Support,the Underdog,6,0.4252987877239578,0.02551792726343747
86698277,Core,of the Ant,8,0,0
86698277,Core,of the Bull,9,0.013499720493136916,0.0012149748443823225
86698277,Core,of the Mule,21,0,0
86698277,Core,of the Octopus,7,0.9561829592724391,0.06693280714907074
86698277,Core,of the Raven,6,0.01873825599503704,0.0011242953597022224
86698277,Core,the Accomplice,7,0.13007757388512162,0.009105430171958513
86698277,Core,the Decisive,25,0.04098233349373071,0.010245583373432678
86698277,Core,the Divine Thief,9,0.07353450716943426,0.0066181056452490825
86698277,Core,the Even-Keeled,25,0,0
86698277,Core,the Flayed Twins Acolyte,7,0.07884223142609781,0.005518956199826846
86698277,Core,the Loquacious,7,0,0
86698277,Core,the Nothl Pilgrim,7,0.012131697556803977,8.492188289762784e-4
86698277,Core,the Pacifist,8,0.027449431669378393,0.0021959545335502716
86698277,Core,the Patient,13,0,0
86698277,Core,the Tormented,9,0,0
86698277,Core,the Underdog,6,0.5087735760232035,0.03052641456139221
93618577,Mid,of the Ant,8,0,0
93618577,Mid,of the Bull,9,0.01394971117624148,0.001255474005861733
93618577,Mid,of the Mule,21,0,0
93618577,Mid,of the Octopus,7,0.7355707881934102,0.05148995517353871
93618577,Mid,of the Raven,6,0.01873825599503704,0.0011242953597022224
93618577,Mid,the Accomplice,7,0.007988730138935758,5.592111097255031e-4
93618577,Mid,the Decisive,25,0.04098233349373071,0.010245583373432678
93618577,Mid,the Divine Thief,9,0.07353450716943426,0.0066181056452490825
93618577,Mid,the Even-Keeled,25,0.02600959315520996,0.00650239828880249
93618577,Mid,the Flayed Twins Acolyte,7,0.07884223142609781,0.005518956199826846
93618577,Mid,the Loquacious,7,0.3519563037522469,0.024636941262657284
93618577,Mid,the Nothl Pilgrim,7,0.0351628736385662,0.002461401154699634
93618577,Mid,the Pacifist,8,0.030932454684885036,0.002474596374790803
93618577,Mid,the Patient,13,0,0
93618577,Mid,the Tormented,9,0,0
93618577,Mid,the Underdog,6,0.5087735760232035,0.03052641456139221
94296097,Support,of the Ant,8,0.44541883388309245,0.0356335067106474
94296097,Support,of the Bull,9,0.09911138187544913,0.00892002436879042
94296097,Support,of the Mule,21,0.07967407826490568,0.016731556435630193
94296097,Support,of the Octopus,7,0.7623810936837548,0.05336667655786284
94296097,Support,of the Raven,6,0.024388551829134814,0.001463313109748089
94296097,Support,the Accomplice,7,0.33422534472286164,0.023395774130600313
94296097,Support,the Decisive,25,0.01666056251434004,0.00416514062858501
94296097,Support,the Divine Thief,9,0.11649569052319005,0.010484612147087104
94296097,Support,the Even-Keeled,25,0,0
94296097,Support,the Flayed Twins Acolyte,7,0.09050831450140082,0.006335582015098057
94296097,Support,the Loquacious,7,0.024350901797839764,0.0017045631258487833
94296097,Support,the Nothl Pilgrim,7,0.1401764355387054,0.009812350487709377
94296097,Support,the Pacifist,8,0.25866239752219694,0.020692991801775754
94296097,Support,the Patient,13,0,0
94296097,Support,the Tormented,9,0,0
94296097,Support,the Underdog,6,0.3508587855542842,0.02105152713325705
100058342,Core,of the Ant,8,0,0
100058342,Core,of the Bull,9,0.016031591212224066,0.0014428432091001659
100058342,Core,of the Mule,21,0.04057821612594458,0.008521425386448362
100058342,Core,of the Octopus,7,0.7695632043737882,0.053869424306165176
100058342,Core,of the Raven,6,0.017844859332023507,0.0010706915599214104
100058342,Core,the Accomplice,7,0,0
100058342,Core,the Decisive,25,0.015469079239865326,0.0038672698099663314
100058342,Core,the Divine Thief,9,0.07433024360106964,0.006689721924096268
100058342,Core,the Even-Keeled,25,0,0
100058342,Core,the Flayed Twins Acolyte,7,0.16383621944571533,0.011468535361200074
100058342,Core,the Loquacious,7,0,0
100058342,Core,the Nothl Pilgrim,7,0.025505555729143054,0.0017853889010400136
100058342,Core,the Pacifist,8,0,0
100058342,Core,the Patient,13,0,0
100058342,Core,the Tormented,9,0.0698464179001864,0.006286177611016777
100058342,Core,the Underdog,6,0.322203165752109,0.019332189945126543
101356886,Support,of the Ant,8,0.240534080824468,0.01924272646595744
101356886,Support,of the Bull,9,0.04009029657235718,0.0036081266915121463
101356886,Support,of the Mule,21,0.006430756342645195,0.0013504588319554912
101356886,Support,of the Octopus,7,0.8060536405670788,0.05642375483969552
101356886,Support,of the Raven,6,0.048312352587203906,0.0028987411552322344
101356886,Support,the Accomplice,7,0.31895790500489535,0.022327053350342674
101356886,Support,the Decisive,25,0.06166717319612022,0.015416793299030056
101356886,Support,the Divine Thief,9,0.02222305631085615,0.0020000750679770533
101356886,Support,the Even-Keeled,25,0,0
101356886,Support,the Flayed Twins Acolyte,7,0.02713911597474233,0.001899738118231963
101356886,Support,the Loquacious,7,0,0
101356886,Support,the Nothl Pilgrim,7,0.15523664496879838,0.010866565147815888
101356886,Support,the Pacifist,8,0.2095683854082878,0.016765470832663023
101356886,Support,the Patient,13,0,0
101356886,Support,the Tormented,9,0.01735534006960852,0.0015619806062647668
101356886,Support,the Underdog,6,0.5323468868611511,0.03194081321166906
103735745,Support,of the Ant,8,0.09541806125345591,0.007633444900276473
103735745,Support,of the Bull,9,0.01394971117624148,0.001255474005861733
103735745,Support,of the Mule,21,0,0
103735745,Support,of the Octopus,7,0.8254861101299211,0.05778402770909448
103735745,Support,of the Raven,6,0.01873825599503704,0.0011242953597022224
103735745,Support,the Accomplice,7,0.18776705846198521,0.013143694092338964
103735745,Support,the Decisive,25,0.04098233349373071,0.010245583373432678
103735745,Support,the Divine Thief,9,0.07353450716943426,0.0066181056452490825
103735745,Support,the Even-Keeled,25,0,0
103735745,Support,the Flayed Twins Acolyte,7,0.07884223142609781,0.005518956199826846
103735745,Support,the Loquacious,7,0,0
103735745,Support,the Nothl Pilgrim,7,0.2443616236486065,0.017105313655402455
103735745,Support,the Pacifist,8,0.10505985690792952,0.008404788552634362
103735745,Support,the Patient,13,0,0
103735745,Support,the Tormented,9,0,0
103735745,Support,the Underdog,6,0.5087735760232035,0.03052641456139221
106573901,Mid,of the Ant,8,0,0
106573901,Mid,of the Bull,9,0.013031359853025797,0.0011728223867723216
106573901,Mid,of the Mule,21,0.03547984582906724,0.007450767624104121
106573901,Mid,of the Octopus,7,0.7521451386616704,0.05265015970631693
106573901,Mid,of the Raven,6,0.0504964841053818,0.0030297890463229084
106573901,Mid,the Accomplice,7,0.021221485975594874,0.0014855040182916413
106573901,Mid,the Decisive,25,0.04158684512207724,0.01039671128051931
106573901,Mid,the Divine Thief,9,0.07898279725175474,0.0071084517526579264
106573901,Mid,the Even-Keeled,25,0,0
106573901,Mid,the Flayed Twins Acolyte,7,0.10046732978054303,0.007032713084638011
106573901,Mid,the Loquacious,7,0,0
106573901,Mid,the Nothl Pilgrim,7,0.018793407183670646,0.0013155385028569453
106573901,Mid,the Pacifist,8,0,0
106573901,Mid,the Patient,13,0.012688466787084107,0.0016495006823209338
106573901,Mid,the Tormented,9,0.02216070730728323,0.0019944636576554905
106573901,Mid,the Underdog,6,0.4008337805991967,0.0240500268359518
111114687,Support,of the Ant,8,0.35627000749020804,0.028501600599216644
111114687,Support,of the Bull,9,0.0806458532730873,0.007258126794577857
111114687,Support,of the Mule,21,0.012526259927266501,0.002630514584725965
111114687,Support,of the Octopus,7,0.6534729561605614,0.04574310693123931
111114687,Support,of the Raven,6,0.031592229725347906,0.0018955337835208743
111114687,Support,the Accomplice,7,0.3199490307036956,0.022396432149258693
111114687,Support,the Decisive,25,0.04003847438655675,0.010009618596639187
111114687,Support,the Divine Thief,9,0.10682202172694805,0.009613981955425323
111114687,Support,the Even-Keeled,25,0,0
111114687,Support,the Flayed Twins Acolyte,7,0.1164972071632377,0.00815480450142664
111114687,Support,the Loquacious,7,0,0
111114687,Support,the Nothl Pilgrim,7,0.22456167126836274,0.01571931698878539
111114687,Support,the Pacifist,8,0.16087519946617723,0.012870015957294178
111114687,Support,the Patient,13,0,0
111114687,Support,the Tormented,9,0.03987863786544855,0.003589077407890369
111114687,Support,the Underdog,6,0.41887325067411424,0.025132395040446856
111620041,Mid,of the Ant,8,0,0
111620041,Mid,of the Bull,9,0.031026430094932042,0.002792378708543884
111620041,Mid,of the Mule,21,0.03011761541138473,0.006324699236390793
111620041,Mid,of the Octopus,7,0.7517087809320498,0.052619614665243494
111620041,Mid,of the Raven,6,0.048312352587203906,0.0028987411552322344
111620041,Mid,the Accomplice,7,0.025455961825664515,0.0017819173277965161
111620041,Mid,the Decisive,25,0.06166717319612022,0.015416793299030056
111620041,Mid,the Divine Thief,9,0.02222305631085615,0.0020000750679770533
111620041,Mid,the Even-Keeled,25,0,0
111620041,Mid,the Flayed Twins Acolyte,7,0.02713911597474233,0.001899738118231963
111620041,Mid,the Loquacious,7,0,0
111620041,Mid,the Nothl Pilgrim,7,0.02907907694892319,0.002035535386424623
111620041,Mid,the Pacifist,8,0.021041203752877068,0.0016832963002301653
111620041,Mid,the Patient,13,0,0
111620041,Mid,the Tormented,9,0.01735534006960852,0.0015619806062647668
111620041,Mid,the Underdog,6,0.5323468868611511,0.03194081321166906
118134220,Core,of the Ant,8,0,0
118134220,Core,of the Bull,9,0.03878547456710192,0.003490692711039173
118134220,Core,of the Mule,21,0,0
118134220,Core,of the Octopus,7,0.9251298423081394,0.06475908896156976
118134220,Core,of the Raven,6,0.031592229725347906,0.0018955337835208743
118134220,Core,the Accomplice,7,0.11255906677733112,0.00787913467441318
118134220,Core,the Decisive,25,0.04003847438655675,0.010009618596639187
118134220,Core,the Divine Thief,9,0.10682202172694805,0.009613981955425323
118134220,Core,the Even-Keeled,25,0,0
118134220,Core,the Flayed Twins Acolyte,7,0.1164972071632377,0.00815480450142664
118134220,Core,the Loquacious,7,0,0
118134220,Core,the Nothl Pilgrim,7,0.0982412910651946,0.0068768903745636215
118134220,Core,the Pacifist,8,0.04353819171736859,0.0034830553373894875
118134220,Core,the Patient,13,0,0
118134220,Core,the Tormented,9,0.03987863786544855,0.003589077407890369
118134220,Core,the Underdog,6,0.41887325067411424,0.025132395040446856
127617979,Core,of the Ant,8,0,0
127617979,Core,of the Bull,9,0,0
127617979,Core,of the Mule,21,0.0057553714710320576,0.0012086280089167322
127617979,Core,of the Octopus,7,0.8736118812695459,0.06115283168886822
127617979,Core,of the Raven,6,0.01873825599503704,0.0011242953597022224
127617979,Core,the Accomplice,7,0,0
127617979,Core,the Decisive,25,0.04098233349373071,0.010245583373432678
127617979,Core,the Divine Thief,9,0.07353450716943426,0.0066181056452490825
127617979,Core,the Even-Keeled,25,0.008814528132186488,0.002203632033046622
127617979,Core,the Flayed Twins Acolyte,7,0.07884223142609781,0.005518956199826846
127617979,Core,the Loquacious,7,0,0
127617979,Core,the Nothl Pilgrim,7,0,0
127617979,Core,the Pacifist,8,0.09038794563845841,0.007231035651076673
127617979,Core,the Patient,13,0,0
127617979,Core,the Tormented,9,0,0
